購入品名,メーカ,型番,発注先,単価(税込）,用途,備考
エンコーダ付ギヤードDCモータ(タイヤ付属)【RDO-502EN】,JAPAN ROBOTECH,RDO-502EN,marutsu,3300,ローバ駆動用,https://www.marutsu.co.jp/pc/i/2223053/
プラスチック段ボール青色,住化プラステック,HF25030-LB,misumi,1242,迷路用,https://jp.misumi-ec.com/vona2/detail/223006587395/?rid=rid3&list=RecoCustomersViewed
リチウムイオンポリマー電池(3.7V、1200mAh)【DTP673450(PHR)】,DATA POWER,DTP673450(PHR),marutsu,2088,電源用リチウムイオン電池,https://www.marutsu.co.jp/GoodsDetail.jsp?q=DTP673450%28PHR%29&salesGoodsCode=1634091&shopNo=3
ESP32-WROVER-E 8MB FLASH【ESP32-DEVKITC-VE】,Espressif Systems,ESP32-DEVKITC-VE,marutsu,2202.59,マイコン,https://www.marutsu.co.jp/pc/i/35042730/
"Texas Instruments 電圧レギュレータ リニア電圧 1.2 → 37 V, 3-Pin, LM317LZ/NOPB",Texas Instruments,LM317LZ/NOPB,Rscomponents,238.7,電圧レギュレータ,https://jp.rs-online.com/web/p/voltage-regulators/5335711
9軸慣性センサーモジュール LSM9DS1【MM-9DS1】,サンハヤト,MM-9DS1,marutsu,2319,9軸センサ,https://www.marutsu.co.jp/pc/i/834951/
Digital IMU Breakout - IMU3000【SEN-10251,SparkFun,SEN-10251,Rscomponents,2600,ジャイロセンサ,https://www.marutsu.co.jp/pc/i/135805/
ADXL345搭載三軸加速度センサモジュール【SFE-SEN-09836】,SparkFun,SFE-SEN-09836,marutsu,3176,加速度センサ,https://www.marutsu.co.jp/pc/i/2350074/
超音波距離センサ、HC-SR04【SFE-SEN-15569】,SparkFun,SFE-SEN-15569,marutsu,652,距離センサ,https://www.marutsu.co.jp/pc/i/2185977/
Micro-USB(A-MicroB)ケーブル【MPA-AMB015BK】,エレコム,MPAAMB015BK,marutsu,484,マイコン-PC接続用,https://www.marutsu.co.jp/pc/i/153117/
ジャンパーワイヤキット MIKROE-513,MikroElektronika,MIKROE-513,Rscomponents,554.4,配線用,https://jp.rs-online.com/web/p/breadboard-jumper-wires/7916463
ジャンパーワイヤキット MIKROE-511,MikroElektronika,MIKROE-511,Rscomponents,554.4,配線用,https://jp.rs-online.com/web/p/breadboard-jumper-wires/7916463
ブレットボード 長さ：165.5mm 幅：56.5mm プロトタイピングボード,Kitronik,2444,Rscomponents,621,回路構成,https://jp.rs-online.com/web/p/breadboards/2153175
ラッピングワイヤー AWG30 黄【R-30Y-0050】,Jonard Tools,R-30Y-0050,marutsu,1681,配線用,https://www.marutsu.co.jp/pc/i/107788/
